"id","negocio","ciudad","direccion","responsable","telefono","instagram","email","web","problema_detectado","canal","primer_contacto","ultimo_seguimiento","siguiente_accion","estado","notas"
"001","Peluquería GLAM Sevilla","Sevilla","Av. Eduardo Dato, 43, 41018 Sevilla","","955 13 93 47","","","https://www.facebook.com/glamsevilla","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Facebook.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"002","Peluquería y Estética Nervión (Beauty Nervión)","Sevilla","Virgen de Valvanera, 12, 41018 Sevilla","","686 11 15 88","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,8; verificado 2026-06-12."
"003","Pepe Oliver Peluqueros","Sevilla","C. Lionel Carvallo, 0 S N, 41005 Sevilla","","954 63 30 44","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,9; verificado 2026-06-12."
"004","Montenegro Beauty","Sevilla","C. San Bernardo, 16, 41018 Sevilla","","634 29 12 03","https://www.instagram.com/montenegrobeauty/","","","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Instagram.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,9; verificado 2026-06-12."
"005","Formas Peluquería Y Belleza","Sevilla","Pl. Aviador Ruiz de Alda, 11, 41004 Sevilla","","685 48 90 89","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,9; verificado 2026-06-12."
"006","Henko Estilistas","Sevilla","Av. de la Buhaira, 6, local 10A, 41018 Sevilla","","632 13 72 28","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 5,0; verificado 2026-06-12."
"007","Salón Capriccio","Sevilla","Av. de la Buhaira, 18, 41018 Sevilla","","692 81 70 85","","","https://www.facebook.com/saloncapricciosevilla/","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Facebook.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,6; verificado 2026-06-12."
"008","Barbero´s peluquería LUIS MONTOTO","Sevilla","Calle Luis Montoto esquina C. Virgen de la Encarnación, 31, 41018 Sevilla","","678 93 05 34","","","https://www.facebook.com/peluqueriabarberos/","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Facebook.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,7; verificado 2026-06-12."
"009","MAS QUE GUAPAS SALON DE BELLEZA UNISEX","Sevilla","C/ Marqués del Nervión, 116, 41005 Sevilla","","653 95 42 26","https://www.instagram.com/masqueguapas116","","","Sin web propia ni reserva online visible en la ficha; contacto por teléfono o Instagram.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 5,0; verificado 2026-06-12."
"010","Yolanda Flores","Sevilla","C. Luis Montoto, 105, local 16, 41007 Sevilla","","955 69 43 86","","","","Sin web ni reserva online visible en la ficha; contacto por teléfono.","Teléfono","","","Llamar y validar responsable","Cualificado","Google Maps: valoración 4,6; verificado 2026-06-12."
